COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
POR PORI,MIR_GRP,CFK03,78,7,0.002857142857142857,0.020789828988229956
POR SPE.,MIR_GRP,CFK03,78,7,0,0
PSE CLIV,MIR_GRP,CFK03,78,7,0,0
PSE STRI,MIR_GRP,CFK03,78,7,0,0
RAM SPE.,MIR_GRP,CFK03,78,7,0.0014285714285714286,0.014711155824877255
RHO CRUS,MIR_GRP,CFK03,78,7,0.008571428571428572,0.03590571407876493
SID RADI,MIR_GRP,CFK03,78,7,0,0
SID SIDE,MIR_GRP,CFK03,78,7,0,0
SOL BOUR,MIR_GRP,CFK03,78,7,0,0
SOL SPE.,MIR_GRP,CFK03,78,7,0,0
SPO OTHE,MIR_GRP,CFK03,78,7,0.005714285714285714,0.02935910575151292
STE INTE,MIR_GRP,CFK03,78,7,0,0
TUR FREE,MIR_GRP,CFK03,78,7,0.4985714285714286,0.19474866062781157
TUR SEDI,MIR_GRP,CFK03,78,7,0.18571428571428572,0.1514667517006564
ACR CERV,MIR_GRP,CFK05,202,23,0,0
ACR PALM,MIR_GRP,CFK05,202,23,0.0017391304347826088,0.008362335581744268
AGA AGAR,MIR_GRP,CFK05,202,23,0.003913043478260869,0.012529837932920817
AGA HUMI,MIR_GRP,CFK05,202,23,0,0
AGA LAMA,MIR_GRP,CFK05,202,23,0,0
AGA SPE.,MIR_GRP,CFK05,202,23,0,0
BAR SUB.,MIR_GRP,CFK05,202,23,0.014347826086956525,0.02386681047078402
CLI SPE.,MIR_GRP,CFK05,202,23,0.002173913043478261,0.009347339170175158
COL NATA,MIR_GRP,CFK05,202,23,0,0
CYA SPE.,MIR_GRP,CFK05,202,23,0.003913043478260869,0.012529837932920817
DIC SPE.,MIR_GRP,CFK05,202,23,0.035217391304347825,0.0369941297039908
DIC STOK,MIR_GRP,CFK05,202,23,4.347826086956522e-4,0.004183898498330442
DIP LABY,MIR_GRP,CFK05,202,23,0,0
EUS FAST,MIR_GRP,CFK05,202,23,0,0
GOR ENCR,MIR_GRP,CFK05,202,23,0,0
GOR GORG,MIR_GRP,CFK05,202,23,0.04260869565217392,0.040535296074495145
HAL SPE.,MIR_GRP,CFK05,202,23,0.026956521739130435,0.03250405470033102
