PRIMARY_SAMPLE_UNIT,STATION_NR,NEW_STN,YEAR,count
W1387,12448,1,2022,119
W1387,13055,2,2022,151
W1392,12988,1,2022,73
W1392,13034,2,2022,58
W1393,12991,1,2022,96
W1393,13037,2,2022,83
W1394,12664,1,2022,56
W1394,13056,2,2022,47
W1396,12444,1,2022,42
W1396,13091,2,2022,45
W1398,13095,1,2022,64
W1398,13298,2,2022,71
W1399,13015,1,2022,64
W1399,13302,2,2022,79
W1400,12672,1,2022,80
W1400,13028,2,2022,65
W1401,13035,1,2022,61
W1401,13304,2,2022,50
W2150,12314,1,2022,54
W2150,12315,2,2022,49
W2151,12115,1,2022,50
W2151,12118,2,2022,46
W2160,12347,1,2022,47
W2160,12348,2,2022,55
W2178,1,1,2022,42
W2178,12726,2,2022,43
W2198,10641,1,2022,94
W2198,10646,2,2022,81
W2220,12567,1,2022,44
W2220,12790,2,2022,43
W2221,12779,1,2022,50
W2221,13119,2,2022,57
W2225,12604,1,2022,67
W2225,12908,2,2022,79
W2227,12605,1,2022,74
W2227,12607,2,2022,86
W2244,13044,1,2022,45
W2244,13296,2,2022,43
W2249,13007,1,2022,183
W2249,13010,2,2022,136
W2252,10884,1,2022,126
W2252,12863,2,2022,85
W2254,12903,1,2022,51
W2254,12949,2,2022,48
W2260,12993,1,2022,49
W2260,13072,2,2022,50
W2271,12325,1,2022,55
W2271,12680,2,2022,42
W2285,10614,1,2022,56
W2285,12322,2,2022,59
W2289,12327,1,2022,63
W2289,13011,2,2022,51
W2308,12296,1,2022,81
W2308,12389,2,2022,113
W2312,10926,1,2022,98
W2312,10927,2,2022,81
W2316,13098,1,2022,57
W2316,13300,2,2022,54
W3010,10697,1,2022,46
W3010,10746,2,2022,45
W3011,10749,1,2022,129
W3011,10750,2,2022,82
W3012,10753,1,2022,46
W3012,10869,2,2022,56
W3018,10759,1,2022,77
W3018,10872,2,2022,89
W3019,10865,1,2022,74
W3019,10866,2,2022,89
W3020,10874,1,2022,92
W3020,10875,2,2022,93
W3021,10941,1,2022,70
W3021,10942,2,2022,91
W3022,12384,1,2022,71
W3022,13090,2,2022,87
W3024,12674,1,2022,108
W3024,13005,2,2022,91
W3026,12803,1,2022,52
W3026,12814,2,2022,58
W3027,12811,1,2022,82
W3027,12819,2,2022,87
