REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
FLK,1155,1,2022,8,2,ISOL_HR,CS12,NA,NA,0.307333333,25.33583,-80.15115,3951925,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD2,7.010399776,8.534399727,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1159,1,2022,8,16,CONT_HR,CS09,NA,NA,0.315333333,25.43928,-80.12158,4020653,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD1,3.962399873,4.267199863,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1161,1,2022,8,16,CONT_HR,CS09,NA,NA,0.272666667,25.43472,-80.12314,4018296,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD1,4.267199863,4.571999854,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1162,1,2022,7,6,RUBB_LR,CS11,NA,NA,0.085333333,25.72854,-80.10325,4147020,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD2,10.36319967,10.66799966,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1173,1,2022,10,3,CONT_MR,CS12,NA,NA,0.230666667,24.5823,-81.26749,2312777,Middle Keys,9,Forereef,4,Unprotected,0,NA,0,CD2,8.229599737,9.143999707,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1185,1,2022,8,18,CONT_HR,CS09,NA,NA,0.206,25.5673,-80.10477,4080709,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD1,4.571999854,4.876799844,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1190,1,2022,6,29,CONT_HR,CS12,NA,NA,0.493333333,25.71133,-80.0872,4140920,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD2,7.924799746,8.534399727,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1199,1,2022,10,4,CONT_MR,CS11,NA,NA,0.178,24.63354,-81.07924,2544254,Middle Keys,9,Forereef,4,Unprotected,0,NA,0,CD2,9.143999707,9.753599688,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1203,1,2022,8,2,CONT_HR,CS12,NA,NA,0.263333333,24.93304,-80.49518,3505204,Mid-Upper Keys Transition,10,Forereef,4,Unprotected,0,NA,0,CD2,6.400799795,7.010399776,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1204,1,2022,8,4,CONT_HR,CS12,NA,NA,0.686666667,25.12954,-80.2685,3755565,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD2,8.839199717,10.97279965,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1210,1,2022,7,11,CONT_HR,CS15,NA,NA,0.593333333,24.4977,-81.62554,2016905,Lower Keys,8,Forereef,4,Unprotected,0,NA,0,CD3,15.23999951,16.76399946,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1215,1,2022,10,3,SPGR_LR,CS14,NA,NA,0.136,24.58986,-81.23386,2345747,Middle Keys,9,Forereef,4,Unprotected,0,NA,0,CD3,11.27759964,12.19199961,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1225,1,2022,8,18,CONT_HR,CS15,NA,NA,0.570666667,25.56482,-80.09821,4079582,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD3,12.80159959,14.02079955,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1239,1,2022,8,4,SPGR_HR,CS15,NA,NA,0.516666667,25.09026,-80.30066,3709023,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD3,13.41119957,14.32559954,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
