analysis_group,strat_cora,cover_cat_cd,n,avp,ntot,se_p
MIR_GRP,CFK01,HAL SPE.,8,0.21125,101,0.14805
MIR_GRP,CFK02,HAL SPE.,12,0.09935,110,0.08513
MIR_GRP,CFK03,HAL SPE.,7,0.05571,78,0.08934
MIR_GRP,CFK05,HAL SPE.,23,0.02696,202,0.03250
MIR_GRP,CFK06,HAL SPE.,4,0.00750,109,0.04889
MIR_GRP,CFK07,HAL SPE.,32,0.02563,339,0.02701
NCRMP_GRP,CFK01,HAL SPE.,10,0.02900,4718,0.05588
NCRMP_GRP,CFK02,HAL SPE.,20,0.00600,30239,0.01771
NCRMP_GRP,CFK03,HAL SPE.,9,0.00889,15652,0.03318
NCRMP_GRP,CFK05,HAL SPE.,7,0.00857,2596,0.03758
NCRMP_GRP,CFK06,HAL SPE.,9,0.01778,36727,0.04671
NCRMP_GRP,CFK07,HAL SPE.,10,0.01000,15960,0.03316
MIR_GRP,CFK01,HEL CUCU,8,0.00000,101,0.00000
MIR_GRP,CFK02,HEL CUCU,12,0.00000,110,0.00000
MIR_GRP,CFK03,HEL CUCU,7,0.00000,78,0.00000
MIR_GRP,CFK05,HEL CUCU,23,0.00000,202,0.00000
MIR_GRP,CFK06,HEL CUCU,4,0.00000,109,0.00000
MIR_GRP,CFK07,HEL CUCU,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,HEL CUCU,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,HEL CUCU,20,0.00050,30239,0.00513
NCRMP_GRP,CFK03,HEL CUCU,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,HEL CUCU,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,HEL CUCU,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,HEL CUCU,10,0.00000,15960,0.00000
MIR_GRP,CFK01,ISO SINU,8,0.00000,101,0.00000
MIR_GRP,CFK02,ISO SINU,12,0.00000,110,0.00000
MIR_GRP,CFK03,ISO SINU,7,0.00000,78,0.00000
MIR_GRP,CFK05,ISO SINU,23,0.00000,202,0.00000
MIR_GRP,CFK06,ISO SINU,4,0.00000,109,0.00000
MIR_GRP,CFK07,ISO SINU,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,ISO SINU,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,ISO SINU,20,0.00050,30239,0.00513
NCRMP_GRP,CFK03,ISO SINU,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,ISO SINU,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,ISO SINU,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,ISO SINU,10,0.00000,15960,0.00000
MIR_GRP,CFK01,LOB SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,LOB SPE.,12,0.02000,110,0.03984
MIR_GRP,CFK03,LOB SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,LOB SPE.,23,0.00000,202,0.00000
MIR_GRP,CFK06,LOB SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,LOB SPE.,32,0.00031,339,0.00302
NCRMP_GRP,CFK01,LOB SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,LOB SPE.,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,LOB SPE.,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,LOB SPE.,7,0.00286,2596,0.02176
