YEAR,COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
2022,CLI SPE.,MIR_GRP,CFK03,78,7,0,0
2022,COL NATA,MIR_GRP,CFK03,78,7,0,0
2022,CYA SPE.,MIR_GRP,CFK03,78,7,0,0
2022,DIC SPE.,MIR_GRP,CFK03,78,7,0.11,0.12187
2022,DIC STOK,MIR_GRP,CFK03,78,7,0,0
2022,DIP LABY,MIR_GRP,CFK03,78,7,0,0
2022,DIP SPE.,MIR_GRP,CFK03,78,7,0,0
2022,EUS FAST,MIR_GRP,CFK03,78,7,0,0
2022,GOR ENCR,MIR_GRP,CFK03,78,7,0.00571,0.02936
2022,GOR GORG,MIR_GRP,CFK03,78,7,0.02143,0.0564
2022,HAL SPE.,MIR_GRP,CFK03,78,7,0.05571,0.08934
2022,HEL CUCU,MIR_GRP,CFK03,78,7,0,0
2022,ISO SINU,MIR_GRP,CFK03,78,7,0,0
2022,LOB SPE.,MIR_GRP,CFK03,78,7,0,0
2022,MAC CALC,MIR_GRP,CFK03,78,7,0,0
2022,MAC FLES,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,MAD DECA,MIR_GRP,CFK03,78,7,0,0
2022,MAG SPE.,MIR_GRP,CFK03,78,7,0,0
2022,MAN AREO,MIR_GRP,CFK03,78,7,0,0
2022,MEA MEAN,MIR_GRP,CFK03,78,7,0,0
2022,MIL SPE.,MIR_GRP,CFK03,78,7,0.00714,0.0328
2022,MON CAVE,MIR_GRP,CFK03,78,7,0,0
2022,MYC ALIC,MIR_GRP,CFK03,78,7,0,0
2022,ORB ANCX,MIR_GRP,CFK03,78,7,0,0
2022,ORB ANNU,MIR_GRP,CFK03,78,7,0.03571,0.07228
2022,ORB FAVE,MIR_GRP,CFK03,78,7,0.02714,0.06329
2022,ORB FRAN,MIR_GRP,CFK03,78,7,0,0
2022,OTH CORA,MIR_GRP,CFK03,78,7,0,0
2022,OTH SPE.,MIR_GRP,CFK03,78,7,0,0
